movie_ID	genres
139	{'id': 10749_'name': 'Romance'|'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
140	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'|'id': 53_'name': 'Thriller'}
141	{'id': 14_'name': 'Fantasy'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'}
142	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
143	{'id': 18_'name': 'Drama'|'id': 10752_'name': 'War'}
144	{'id': 18_'name': 'Drama'|'id': 14_'name': 'Fantasy'|'id': 10749_'name': 'Romance'}
145	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
146	{'id': 12_'name': 'Adventure'|'id': 18_'name': 'Drama'|'id': 28_'name': 'Action'|'id': 10749_'name': 'Romance'}
147	{'id': 18_'name': 'Drama'}
148	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
149	{'id': 878_'name': 'Science Fiction'|'id': 16_'name': 'Animation'}
150	{'id': 53_'name': 'Thriller'|'id': 28_'name': 'Action'|'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
152	{'id': 878_'name': 'Science Fiction'|'id': 12_'name': 'Adventure'|'id': 9648_'name': 'Mystery'}
153	{'id': 18_'name': 'Drama'}
154	{'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 878_'name': 'Science Fiction'|'id': 53_'name': 'Thriller'}
155	{'id': 18_'name': 'Drama'|'id': 28_'name': 'Action'|'id': 80_'name': 'Crime'|'id': 53_'name': 'Thriller'}
156	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
157	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
158	{'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
159	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
160	{'id': 99_'name': 'Documentary'}
161	{'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
162	{'id': 14_'name': 'Fantasy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
163	{'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
164	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
165	{'id': 12_'name': 'Adventure'|'id': 35_'name': 'Comedy'|'id': 10751_'name': 'Family'|'id': 878_'name': 'Science Fiction'}
166	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'|'id': 35_'name': 'Comedy'}
167	{'id': 18_'name': 'Drama'|'id': 878_'name': 'Science Fiction'}
168	{'id': 878_'name': 'Science Fiction'|'id': 12_'name': 'Adventure'}
169	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'}
170	{'id': 27_'name': 'Horror'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
171	{'id': 35_'name': 'Comedy'}
172	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
173	{'id': 12_'name': 'Adventure'|'id': 18_'name': 'Drama'|'id': 878_'name': 'Science Fiction'}
174	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
175	{'id': 12_'name': 'Adventure'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
176	{'id': 27_'name': 'Horror'|'id': 9648_'name': 'Mystery'|'id': 80_'name': 'Crime'}
177	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
178	{'id': 18_'name': 'Drama'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'}
179	{'id': 80_'name': 'Crime'|'id': 53_'name': 'Thriller'}
180	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'|'id': 9648_'name': 'Mystery'}
182	{'id': 10752_'name': 'War'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'|'id': 10749_'name': 'Romance'|'id': 53_'name': 'Thriller'}
183	{'id': 12_'name': 'Adventure'|'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10751_'name': 'Family'|'id': 10749_'name': 'Romance'}
184	{'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'|'id': 10749_'name': 'Romance'}
185	{'id': 878_'name': 'Science Fiction'|'id': 18_'name': 'Drama'}
186	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'|'id': 9648_'name': 'Mystery'}
187	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
189	{'id': 80_'name': 'Crime'|'id': 53_'name': 'Thriller'}
192	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 9648_'name': 'Mystery'}
193	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
194	{'id': 35_'name': 'Comedy'|'id': 10749_'name': 'Romance'}
195	{'id': 35_'name': 'Comedy'|'id': 10749_'name': 'Romance'}
196	{'id': 12_'name': 'Adventure'|'id': 35_'name': 'Comedy'|'id': 10751_'name': 'Family'|'id': 878_'name': 'Science Fiction'}
197	{'id': 28_'name': 'Action'|'id': 18_'name': 'Drama'|'id': 36_'name': 'History'|'id': 10752_'name': 'War'}
198	{'id': 35_'name': 'Comedy'|'id': 10752_'name': 'War'}
199	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
200	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
201	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
203	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'}
204	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 12_'name': 'Adventure'}
205	{'id': 18_'name': 'Drama'|'id': 36_'name': 'History'|'id': 10752_'name': 'War'}
206	{'id': 18_'name': 'Drama'}
207	{'id': 18_'name': 'Drama'}
211	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
212	{'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
213	{'id': 9648_'name': 'Mystery'|'id': 53_'name': 'Thriller'}
214	{'id': 27_'name': 'Horror'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
215	{'id': 27_'name': 'Horror'}
216	{'id': 10749_'name': 'Romance'|'id': 18_'name': 'Drama'}
217	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'}
218	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
219	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
220	{'id': 18_'name': 'Drama'}
221	{'id': 18_'name': 'Drama'}
222	{'id': 99_'name': 'Documentary'|'id': 36_'name': 'History'}
223	{'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'}
224	{'id': 18_'name': 'Drama'|'id': 36_'name': 'History'}
225	{'id': 18_'name': 'Drama'|'id': 36_'name': 'History'}
226	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
227	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
228	{'id': 18_'name': 'Drama'}
229	{'id': 27_'name': 'Horror'|'id': 878_'name': 'Science Fiction'}
231	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
232	{'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
233	{'id': 18_'name': 'Drama'}
234	{'id': 18_'name': 'Drama'|'id': 27_'name': 'Horror'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
235	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
236	{'id': 18_'name': 'Drama'|'id': 35_'name': 'Comedy'|'id': 10749_'name': 'Romance'}
237	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'|'id': 10749_'name': 'Romance'}
238	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'}
239	{'id': 35_'name': 'Comedy'|'id': 10749_'name': 'Romance'}
240	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'}
241	{'id': 80_'name': 'Crime'|'id': 53_'name': 'Thriller'|'id': 18_'name': 'Drama'}
242	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
243	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'|'id': 10402_'name': 'Music'}
244	{'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 18_'name': 'Drama'|'id': 27_'name': 'Horror'}
245	{'id': 18_'name': 'Drama'|'id': 35_'name': 'Comedy'|'id': 10749_'name': 'Romance'}
246	{'id': 12_'name': 'Adventure'|'id': 18_'name': 'Drama'|'id': 28_'name': 'Action'}
247	{'id': 18_'name': 'Drama'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
248	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
249	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
250	{'id': 28_'name': 'Action'|'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
251	{'id': 14_'name': 'Fantasy'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 9648_'name': 'Mystery'|'id': 10749_'name': 'Romance'}
252	{'id': 10751_'name': 'Family'|'id': 14_'name': 'Fantasy'}
253	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'}
254	{'id': 12_'name': 'Adventure'|'id': 18_'name': 'Drama'|'id': 28_'name': 'Action'}
255	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
256	{'id': 18_'name': 'Drama'}
257	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 10751_'name': 'Family'}
258	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
259	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
260	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 9648_'name': 'Mystery'}
261	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
262	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
265	{'id': 10752_'name': 'War'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
266	{'id': 18_'name': 'Drama'}
267	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'|'id': 53_'name': 'Thriller'}
268	{'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'}
269	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'}
271	{'id': 12_'name': 'Adventure'|'id': 18_'name': 'Drama'|'id': 14_'name': 'Fantasy'|'id': 10751_'name': 'Family'}
272	{'id': 28_'name': 'Action'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
273	{'id': 18_'name': 'Drama'}
274	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
275	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
276	{'id': 18_'name': 'Drama'|'id': 35_'name': 'Comedy'}
277	{'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'}
278	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'}
279	{'id': 18_'name': 'Drama'|'id': 36_'name': 'History'|'id': 10402_'name': 'Music'}
280	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
281	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 878_'name': 'Science Fiction'|'id': 53_'name': 'Thriller'}
284	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
285	{'id': 12_'name': 'Adventure'|'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'}
286	{'id': 99_'name': 'Documentary'}
287	{'id': 35_'name': 'Comedy'|'id': 10749_'name': 'Romance'}
288	{'id': 37_'name': 'Western'}
289	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
290	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
291	{'id': 99_'name': 'Documentary'}
292	{'id': 35_'name': 'Comedy'|'id': 99_'name': 'Documentary'|'id': 10402_'name': 'Music'}
293	{'id': 18_'name': 'Drama'}
294	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
296	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
